"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","Y1","Y2"
3.14,9,8373.85,1386.72,7013.62,60.28,60.28,585.98,288,578.07,1.39,1,7.6,1.02,12.35,0.24,0.99,0.98
7.15,21,39007.12,2678.01,9116.04,332.49,332.49,821.74,288,686.53,2.99,1,15.71,1.04,43.97,0.87,0.99,0.98
5.14,15,21639.19,1924.36,8513.72,175.32,175.32,705.11,288,640.12,2.07,1,10.92,1.03,24.89,0.49,0.95,1
4.16,12,14721.84,1547.46,7757.85,113.78,113.78,653.07,288,610.15,1.66,1,9.01,1.02,17.77,0.35,0.97,0.98
9.3,27,72759.21,3560.37,9729.1,644.74,644.74,1057.88,288,771.58,4.55,1,22.96,1.05,88.27,1.75,1,0.98
9.3,27,72763.86,3560.39,9755.85,644.76,644.76,1086.81,288,780.5,4.52,1,22.85,1.05,90.41,1.79,0.97,0.98
2.09,6,6948.63,1373.84,6795.34,27.73,27.73,600.1,288,570.4,1.33,1,7.14,1.02,10.18,0.26,0.99,1
1.14,3,4794.86,1346.95,6621.71,7.32,7.32,587.42,288,562.73,1.26,1,6.81,1.02,19.86,0.25,0.99,0.99
8.21,24,50992.96,3087.44,9297.05,437.94,437.94,910.58,288,725.84,3.6,1,18.56,1.04,59.61,1.18,1,0.99
8.21,24,50996.18,3087.55,9312.91,438.12,438.12,941.56,288,737.71,3.58,1,18.61,1.04,61.72,1.22,0.96,0.98
9.3,27,72757.59,3560.36,9727.19,644.98,644.98,1059.66,288,771.91,4.55,1,23.01,1.05,88.49,1.75,1,0.98
7.15,21,39006.45,2678.02,9116.54,332.36,332.36,820.72,288,686.36,2.99,1,15.69,1.04,43.89,0.87,0.99,0.98
7.15,21,38983.56,2678.08,9133.53,332.11,332.11,830.38,288,693.25,2.96,1,15.47,1.04,44.2,0.88,0.96,0.99
1.14,3,4593.94,1412.61,6699.27,11.29,11.29,588.34,288,570.77,1.26,1,6.89,1.02,0,0.22,0.96,0.98
9.3,27,72771.24,3560.41,9758.69,644.95,644.95,1072.47,288,777.23,4.52,1,22.61,1.05,88.96,1.76,0.98,0.99
3.14,9,8376.58,1386.74,7068.72,60.33,60.33,586.63,288,580.28,1.39,1,7.53,1.02,12.34,0.24,0.98,0.98
3.14,9,8377.91,1386.75,7101.75,60.34,60.34,576.35,288,578.4,1.39,1,7.43,1.02,11.91,0.24,0.98,1
7.15,21,38985.63,2678.09,9129.89,332.13,332.13,847.87,288,697.36,2.97,1,15.67,1.04,45.47,0.9,0.96,0.98
2.09,6,6644.6,1385.27,6813.39,29.85,29.85,590.82,288,570.64,1.33,1,7.11,1.02,3.7,0.25,0.98,1
3.14,9,8375.96,1386.74,7062.12,60.32,60.32,576.26,288,576.95,1.39,1,7.48,1.02,11.93,0.24,0.99,0.99
6.18,18,29761.78,2306.83,8786.06,246.01,246.01,762.29,288,661.88,2.52,1,13.3,1.03,33.67,0.67,1,0.99
7.15,21,38984.44,2678.08,9133.05,332.23,332.23,828.02,288,692.46,2.96,1,15.46,1.04,44.04,0.87,0.97,0.99
1.14,3,6845.97,1384.55,6713.91,9.58,9.58,637.13,288,575.19,1.33,1,7.14,1.02,0,0.29,0.97,0.99
4.16,12,14724.47,1547.47,7799.41,113.8,113.8,652.42,288,611.66,1.66,1,8.94,1.02,17.69,0.35,0.95,0.98
8.21,24,50994.17,3087.51,9314.09,438.03,438.03,918.82,288,732.26,3.58,1,18.3,1.04,59.81,1.18,0.97,0.99
1.14,3,524.81,1349.59,6651,7.42,7.42,446.68,288,542.29,1.11,1,5.89,1.02,6.61,0.07,0.99,1
4.16,12,14723.23,1547.46,7784.89,113.79,113.79,646.94,288,609.57,1.66,1,8.93,1.02,17.46,0.35,0.96,0.99
2.09,6,5195.42,1345.73,6835.86,22.63,22.63,583.91,288,571.92,1.27,1,6.86,1.02,23.2,0.24,0.95,0.99
3.14,9,8375.75,1386.74,7049.42,60.32,60.32,589.32,288,580.37,1.39,1,7.57,1.02,12.46,0.25,0.98,0.98
8.21,24,50992.86,3087.43,9297.16,437.97,437.97,912.28,288,726.31,3.6,1,18.58,1.04,59.74,1.18,0.99,0.99
1.14,3,6635.7,1338.52,6651.38,6.92,6.92,649.67,288,573.37,1.31,1,7.12,1.02,23.74,0.32,0.97,0.98
2.09,6,2840.39,1361.81,6825.48,25.43,25.43,503.45,288,559.5,1.2,1,6.43,1.02,11.06,0.14,0.96,0.99
2.09,6,4327.13,1344.16,6810.79,22.31,22.31,561.06,288,567.78,1.24,1,6.74,1.02,23.4,0.21,0.96,0.98
4.16,12,14721.59,1547.46,7773.87,113.78,113.78,625.95,288,603.31,1.66,1,8.81,1.02,16.51,0.33,0.98,1
9.3,27,72775.69,3560.4,9752.01,645.13,645.13,1050.67,288,771.34,4.52,1,22.45,1.05,87.03,1.72,0.99,1
2.09,6,4823.55,1394.06,6822.23,31.47,31.47,544.95,288,565.66,1.27,1,6.82,1.02,0,0.18,0.98,0.99
8.21,24,50993.07,3087.46,9303.42,438.02,438.02,902.81,288,725.4,3.59,1,18.34,1.04,58.79,1.16,0.99,1
5.14,15,21629.64,1924.34,8483.06,175.29,175.29,692.9,288,633.51,2.08,1,11,1.03,24.36,0.48,0.98,1
6.18,18,29761.56,2306.78,8804.56,245.98,245.98,777.71,288,667.93,2.51,1,13.31,1.03,34.51,0.68,0.98,0.98
2.09,6,4682.31,1344.77,6860.35,22.44,22.44,564.81,288,569.15,1.25,1,6.72,1.02,23.08,0.22,0.95,1
5.14,15,21630.98,1924.33,8484.3,175.3,175.3,703.57,288,636.68,2.08,1,11.06,1.03,24.93,0.49,0.98,0.99
4.16,12,14720.42,1547.46,7753.51,113.76,113.76,631.82,288,604.13,1.66,1,8.88,1.02,16.8,0.33,0.98,0.99
7.15,21,38998.35,2678.07,9123.54,332.27,332.27,808.3,288,684.47,2.98,1,15.47,1.04,42.88,0.85,0.99,1
9.3,27,72767.96,3560.38,9737.42,644.75,644.75,1050.04,288,770.14,4.54,1,22.71,1.05,87.32,1.73,1,0.99
3.14,9,8376.56,1386.74,7069.03,60.33,60.33,585.39,288,579.93,1.39,1,7.52,1.02,12.29,0.24,0.98,0.98
9.3,27,72777.96,3560.7,9797.1,645.03,645.03,1093.88,288,785.73,4.47,1,22.14,1.05,89.95,1.78,0.95,1
5.14,15,21632.19,1924.34,8488.91,175.27,175.27,701.76,288,636.64,2.08,1,11.03,1.03,24.82,0.49,0.97,0.99
1.14,3,1487.56,1353.08,6624.24,7.59,7.59,475.16,288,545.28,1.14,1,6.12,1.02,10.16,0.11,1,0.99
8.21,24,50992.96,3087.45,9298.41,438.05,438.05,901.36,288,723.77,3.6,1,18.43,1.04,58.81,1.16,1,0.99
4.16,12,14725.39,1547.48,7825.12,113.8,113.8,638.46,288,608.83,1.65,1,8.81,1.02,17.03,0.34,0.96,1
3.14,9,8376.29,1386.74,7069.04,60.33,60.33,576.34,288,577.23,1.39,1,7.47,1.02,11.93,0.24,0.99,0.99
1.14,3,5133.85,1316.47,6683.38,5.74,5.74,611.22,288,568.34,1.26,1,6.79,1.02,31.72,0.28,0.96,0.99
8.21,24,50993.31,3087.46,9299.29,438.1,438.1,907.04,288,725.47,3.6,1,18.47,1.04,59.26,1.17,0.99,0.99
9.3,27,72769.88,3560.41,9771.23,644.75,644.75,1091.7,288,782.86,4.5,1,22.62,1.05,90.47,1.79,0.96,0.99
6.18,18,29766.98,2307,8810.99,245.96,245.96,775.96,288,667.99,2.51,1,13.26,1.03,34.37,0.68,0.98,0.99
7.15,21,39017.93,2677.92,9109.8,332.48,332.48,821.77,288,685.04,3,1,15.82,1.04,44.11,0.87,1,0.98
7.15,21,38991.34,2678.08,9128.81,332.26,332.26,812.13,288,686.85,2.97,1,15.41,1.04,43.04,0.85,0.98,1
3.14,9,8379.41,1386.76,7117.25,60.35,60.35,603.04,288,586.91,1.39,1,7.55,1.02,12.97,0.26,0.95,0.98
6.18,18,29790.18,2307.49,8818.07,246.18,246.18,779.2,288,669.49,2.51,1,13.26,1.03,34.54,0.68,0.97,0.99
1.14,3,1631.71,1311.62,6689.27,5.49,5.49,516.04,288,554.99,1.14,1,6.15,1.02,28.34,0.16,0.95,0.99
3.14,9,8379.55,1386.76,7119.58,60.35,60.35,603.51,288,587.14,1.39,1,7.55,1.02,12.98,0.26,0.95,0.98
8.21,24,50994.02,3087.49,9304.56,438.01,438.01,918.02,288,729.63,3.59,1,18.49,1.04,60.01,1.19,0.98,0.99
5.14,15,21635.94,1924.34,8500.35,175.3,175.3,705.08,288,638.75,2.08,1,10.99,1.03,24.94,0.49,0.96,1
9.3,27,72762.07,3560.38,9763.89,645.07,645.07,1099.74,288,784.18,4.51,1,22.87,1.05,91.43,1.81,0.96,0.98
8.21,24,50990.05,3087.31,9295.62,438.01,438.01,919.95,288,727.94,3.6,1,18.69,1.04,60.41,1.2,0.99,0.98
5.14,15,21624.64,1924.31,8462.28,175.22,175.22,705.97,288,635.09,2.09,1,11.2,1.03,25.16,0.5,0.99,0.98
4.16,12,14725.2,1547.48,7824.79,113.81,113.81,637.15,288,608.45,1.65,1,8.8,1.02,16.97,0.34,0.96,1
3.14,9,8378.08,1386.75,7107.43,60.34,60.34,572.38,288,577.4,1.39,1,7.41,1.02,11.74,0.23,0.98,1
1.14,3,1080.15,1377.74,6665,9.13,9.13,477.71,288,551.66,1.13,1,6.12,1.02,1.04,0.1,0.97,0.98
3.14,9,8375.5,1386.74,7054.05,60.31,60.31,572.12,288,575.42,1.39,1,7.47,1.02,11.76,0.23,1,0.99
9.3,27,72766.85,3560.4,9751.91,644.96,644.96,1072.64,288,776.77,4.52,1,22.73,1.05,89.14,1.77,0.98,0.99
5.14,15,21628.24,1924.32,8474.13,175.26,175.26,703.78,288,635.7,2.09,1,11.12,1.03,24.99,0.5,0.98,0.99
3.14,9,8374.69,1386.73,7028.74,60.3,60.3,589.07,288,579.54,1.39,1,7.59,1.02,12.46,0.25,0.99,0.98
6.18,18,29760.94,2306.83,8781.02,246.02,246.02,770.96,288,663.91,2.52,1,13.39,1.03,34.23,0.68,1,0.98
2.09,6,4355.57,1392.15,6820.77,31.09,31.09,533.23,288,564.24,1.26,1,6.74,1.02,0,0.17,0.98,0.99
8.21,24,50994.91,3087.55,9317.08,438.07,438.07,930.12,288,735.92,3.57,1,18.37,1.04,60.65,1.2,0.96,0.99
5.14,15,21637.11,1924.35,8505.09,175.32,175.32,704.76,288,639.14,2.08,1,10.96,1.03,24.91,0.49,0.96,1
6.18,18,29774.24,2307.23,8813.43,246.04,246.04,778.63,288,668.95,2.51,1,13.27,1.03,34.52,0.68,0.97,0.98
6.18,18,29794.58,2307.33,8834.58,246.32,246.32,793.67,288,675.04,2.5,1,13.27,1.03,35.32,0.7,0.95,0.98
5.14,15,21635.41,1924.34,8498.52,175.28,175.28,706.97,288,639.1,2.08,1,11.01,1.03,25.05,0.5,0.96,0.99
9.3,27,72757.8,3560.37,9734.44,644.96,644.96,1069.95,288,774.93,4.54,1,23.01,1.05,89.31,1.77,0.99,0.98
7.15,21,38977.81,2678.08,9137.95,332.14,332.14,843.37,288,698.05,2.96,1,15.49,1.04,44.99,0.89,0.95,0.99
1.14,3,354.49,1351.14,6725.15,7.64,7.64,450.51,288,547.29,1.1,1,5.85,1.02,3.96,0.07,0.95,1
2.09,6,4400.72,1392.09,6851.84,31.09,31.09,530.86,288,564.11,1.26,1,6.69,1.02,0,0.17,0.97,1
2.09,6,6938.86,1373.03,6790.52,27.57,27.57,599.2,288,569.94,1.33,1,7.14,1.02,10.54,0.26,0.99,1
7.15,21,39006.12,2678.04,9118.9,332.45,332.45,800.36,288,681.05,2.99,1,15.49,1.04,42.42,0.84,1,1
5.14,15,21631.48,1924.32,8482.78,175.28,175.28,714.39,288,639.59,2.08,1,11.15,1.03,25.52,0.51,0.97,0.98
3.14,9,8376.43,1386.74,7075.69,60.33,60.33,568.76,288,575.19,1.39,1,7.43,1.02,11.61,0.23,0.99,1
1.14,3,4187.74,1342.53,6616.84,7.06,7.06,568.98,288,559.4,1.24,1,6.68,1.02,21.21,0.23,0.99,0.99
9.3,27,72771.8,3560.41,9754.84,645.02,645.02,1065.26,288,775.17,4.52,1,22.59,1.05,88.36,1.75,0.98,0.99
2.09,6,3591.77,1347.5,6864.8,22.89,22.89,529.88,288,563.79,1.22,1,6.51,1.02,19.73,0.17,0.95,1
5.14,15,21634.29,1924.34,8496.42,175.32,175.32,701.52,288,637.33,2.08,1,10.99,1.03,24.77,0.49,0.97,1
5.14,15,21631.62,1924.35,8489.58,175.3,175.3,693.58,288,634.36,2.08,1,10.97,1.03,24.37,0.48,0.98,1
7.15,21,38978.92,2678.08,9139.54,332.17,332.17,823.4,288,692.71,2.96,1,15.31,1.04,43.59,0.86,0.96,1
3.14,9,8374.69,1386.73,7036.14,60.31,60.31,578.81,288,576.77,1.39,1,7.53,1.02,12.04,0.24,0.99,0.98
7.15,21,38986.86,2678.08,9130.56,332.15,332.15,829.72,288,692.34,2.97,1,15.51,1.04,44.21,0.88,0.97,0.99
1.14,3,698.13,1331.44,6638.77,6.43,6.43,464.52,288,544.09,1.11,1,5.95,1.02,17.26,0.1,0.98,0.99
1.14,3,3175.77,1380.81,6616.92,9.24,9.24,528.87,288,555.13,1.21,1,6.55,1.02,6.16,0.17,1,0.98
9.3,27,72756.43,3560.36,9734.86,644.82,644.82,1073.9,288,775.94,4.54,1,23.05,1.05,89.68,1.78,0.99,0.98
4.16,12,14717.21,1547.44,7694.19,113.71,113.71,641.28,288,604.32,1.67,1,9.05,1.02,17.31,0.34,0.99,0.98
8.21,24,50995.66,3087.58,9317.82,437.98,437.98,932.55,288,736.72,3.57,1,18.39,1.04,60.83,1.2,0.96,0.99
9.3,27,72754.02,3560.35,9725.62,644.73,644.73,1065.35,288,773.25,4.55,1,23.11,1.05,89.07,1.76,1,0.98
8.21,24,50994.68,3087.55,9323.32,438.11,438.11,927.13,288,736.79,3.56,1,18.21,1.04,60.22,1.19,0.96,1
6.18,18,29761.92,2306.77,8804.45,245.92,245.92,771.28,288,666.08,2.51,1,13.26,1.03,34.11,0.68,0.98,0.99
9.3,27,72758.47,3560.37,9740.41,644.7,644.7,1077.33,288,777.14,4.54,1,23,1.05,89.87,1.78,0.98,0.98
2.09,6,3977.89,1345.23,6840.93,22.5,22.5,546.3,288,566,1.23,1,6.62,1.02,22.04,0.19,0.96,0.99
2.09,6,5713.46,1348.12,6754.81,23,23,573.54,288,563.98,1.29,1,6.93,1.02,21.9,0.24,1,0.99
5.14,15,21620.92,1924.31,8449.65,175.2,175.2,704.79,288,633.44,2.09,1,11.26,1.03,25.15,0.5,1,0.98
3.14,9,8373.97,1386.72,7018.96,60.3,60.3,583.14,288,577.42,1.39,1,7.57,1.02,12.23,0.24,1,0.98
1.14,3,3958.9,1332.62,6621.75,6.58,6.58,578.58,288,562.53,1.23,1,6.69,1.02,25.62,0.23,0.98,0.98
3.14,9,8378.77,1386.76,7110.49,60.35,60.35,589.71,288,582.71,1.39,1,7.49,1.02,12.44,0.25,0.96,0.99
1.14,3,1453.19,1389.64,6673.64,9.83,9.83,487.19,288,553.58,1.15,1,6.21,1.02,0.29,0.11,0.97,0.98
4.16,12,14722.43,1547.46,7773.44,113.78,113.78,644.64,288,608.47,1.66,1,8.93,1.02,17.37,0.34,0.97,0.99
4.16,12,14717.84,1547.45,7718.17,113.73,113.73,623.53,288,600.41,1.66,1,8.89,1.02,16.46,0.33,1,0.99
5.14,15,21632.29,1924.31,8482.18,175.25,175.25,724.46,288,642.36,2.08,1,11.22,1.03,26.06,0.52,0.96,0.98
3.14,9,8375.99,1386.74,7053.84,60.32,60.32,590.21,288,580.8,1.39,1,7.57,1.02,12.49,0.25,0.98,0.98
4.16,12,14720.67,1547.46,7756.11,113.74,113.74,644.98,288,607.87,1.66,1,8.96,1.02,17.4,0.35,0.97,0.98
8.21,24,50987.45,3087.22,9297.01,437.96,437.96,926.43,288,729.96,3.6,1,18.74,1.04,60.9,1.21,0.99,0.98
2.09,6,3151.72,1351.08,6798.79,23.5,23.5,522.09,288,561.65,1.21,1,6.53,1.02,17.74,0.16,0.97,0.98
7.15,21,38977.23,2678.08,9138.97,332.15,332.15,839.6,288,697.23,2.96,1,15.44,1.04,44.71,0.89,0.95,0.99
2.09,6,4764.02,1344.5,6840.15,22.39,22.39,570.99,288,570.12,1.26,1,6.78,1.02,23.43,0.22,0.95,0.99
1.14,3,4647.71,1312.58,6686.6,5.55,5.55,602.98,288,567.69,1.24,1,6.71,1.02,32.73,0.27,0.96,0.99
3.14,9,8377.28,1386.75,7082.12,60.34,60.34,589.32,288,581.57,1.39,1,7.53,1.02,12.44,0.25,0.97,0.98
8.21,24,50994.29,3087.51,9312.3,438.09,438.09,921.22,288,732.41,3.58,1,18.37,1.04,60.06,1.19,0.97,0.99
