X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
5.14,15,21627.91,1924.32,8471.51,175.24,175.24,709.63,288,637.08,2.09,1,11.17,1.03,25.32,0.5
1.14,3,1419.85,1388.02,6671.01,9.72,9.72,483.83,288,552.49,1.15,1,6.19,1.02,0.47,0.1
8.21,24,50996.8,3087.59,9314.03,438.12,438.12,938.44,288,737.21,3.58,1,18.54,1.04,61.43,1.22
5.14,15,21637.73,1924.34,8505.35,175.32,175.32,710.67,288,640.85,2.08,1,11,1.03,25.22,0.5
3.14,9,8376.33,1386.74,7069.37,60.32,60.32,575.13,288,576.87,1.39,1,7.47,1.02,11.88,0.24
5.14,15,21623.73,1924.32,8461.2,175.2,175.2,695.24,288,631.94,2.09,1,11.13,1.03,24.58,0.49
7.15,21,39002.85,2678.04,9118.96,332.36,332.36,820.61,288,686.92,2.98,1,15.65,1.04,43.83,0.87
4.16,12,14723.93,1547.47,7799.55,113.8,113.8,643.5,288,609.21,1.66,1,8.88,1.02,17.29,0.34
2.09,6,6282.73,1353.72,6810.77,24.08,24.08,618.73,288,577.24,1.31,1,7.13,1.02,21.34,0.28
2.09,6,3563.29,1384.64,6765.98,29.64,29.64,518.51,288,561.19,1.23,1,6.67,1.02,0,0.15
1.14,3,3440.66,1360.32,6598.73,8.11,8.11,551.82,288,558.6,1.22,1,6.64,1.02,13.7,0.2
6.18,18,29762.23,2306.78,8799.23,245.98,245.98,764,288,663.54,2.51,1,13.24,1.03,33.7,0.67
5.14,15,21636.93,1924.32,8496.61,175.28,175.28,729.5,288,645.27,2.08,1,11.17,1.03,26.26,0.52
5.14,15,21636.98,1924.34,8502.48,175.29,175.29,710.56,288,640.53,2.08,1,11.02,1.03,25.23,0.5
8.21,24,50994.85,3087.56,9322.51,438.01,438.01,929.16,288,737.09,3.56,1,18.25,1.04,60.41,1.2
2.09,6,3735.67,1386.74,6790.89,30.04,30.04,520.73,288,561.89,1.24,1,6.66,1.02,0,0.15
